sample_id,HF_outer_MPa,MF_outer_MPa,LF_outer_MPa,HF_inner_MPa,MF_inner_MPa,LF_inner_MPa
1,0.8959580565897707,0.8983964931681467,1.045256206356077,0.39937691185946667,0.44340854439756405,0.48626912376415654
2,0.907581459867943,0.9449686379802229,0.9632610897220616,0.41294326154209104,0.4622923660784469,0.446519099015229
3,0.6539726122571059,0.6808231997060806,0.7292227748735683,0.6027776979911655,0.6405708352276861,0.697136366579076
4,0.33993256848514447,0.3743908894928562,0.39785375288866115,0.3801922768692081,0.36374363374508184,0.3837448178118891
5,0.705433630812067,0.72823426569597,0.7378841725089913,0.4897061359797782,0.5116811921074103,0.5464833777095891
6,0.8194746775293335,0.8530639234128217,0.9898058793944693,0.35963919675613665,0.41319625167173785,0.3771776894364866
7,0.9394127848382776,0.9483841774607694,1.0480670068353606,0.5604408933088522,0.577632438592267,0.611118419123374
8,0.48713675838352644,0.5256138392331742,0.5070944279664288,0.23839811589629462,0.2400489226130302,0.28003347197411843
9,0.6135492873016875,0.6529671859181189,0.6761816920884488,0.6039888801899084,0.6200590941207521,0.6029639066537409
10,0.870943240699463,0.8686541174063597,0.9699658957667037,0.5922583342852178,0.6095442090014106,0.6376293856582318
11,0.46494948491719157,0.46845372440821886,0.5316476784578859,0.35954878481633384,0.3709818764262762,0.37242983639751615
12,0.712948889361411,0.7156666314231109,0.7758608668674023,0.3959984780968149,0.3937280991851208,0.47072427643541953
13,0.4266646033672553,0.46253726711758325,0.4670403067462053,0.5825771886682907,0.5823638483565359,0.6435158634135797
14,0.8889509361590195,0.9110328050420645,0.947092113114461,0.3798500896233879,0.3886762119815107,0.5053262400534856
15,0.8857851455099224,0.8775361868028555,0.9742284652744443,0.34283379458444774,0.34863269010959647,0.38833067286881323
16,0.7853056891454052,0.7819603046360449,0.8729252418338472,0.4093976552666197,0.39225847896677984,0.4863337644962782
17,0.7490852391603178,0.7323672951179929,0.8193795079610463,0.40006272879954563,0.44508786341680695,0.40744973457915057
18,0.4721216926165096,0.48425570750135494,0.5420157295487171,0.18786880282979446,0.2051943729502859,0.28233992147701203
19,0.5625482087045373,0.6222899867288381,0.6517167854746653,0.25384785777118424,0.2326643368012643,0.2137913859180512
20,0.5094019821361434,0.4966604886885804,0.5384328260413266,0.6046519380737874,0.6420696495932757,0.786293043347016
21,0.682028713517993,0.719329240749282,0.7077829171418724,0.4134408136829699,0.409164106718178,0.331766084145779
22,0.6057659182674819,0.6051074386187081,0.6364926445509096,0.527158518088434,0.5275898395355415,0.6514841070655106
23,0.726320138881301,0.6910347203007047,0.7781568593171814,0.3997031752404987,0.38801361040500193,0.44837145065073153
24,0.41274517805250466,0.41182721708821673,0.5516570434882961,0.6210663958853642,0.6524074917106636,0.6286583365432908
25,0.6119666672514678,0.6249782324270623,0.7370884630685542,0.43378047467798553,0.4644429969781658,0.4726706517643431
26,0.47288660950675077,0.48751764766610517,0.5631468577225038,0.22415353876187494,0.22476264484488512,0.25368796706498625
27,0.6610867215082012,0.6776578590097017,0.7745673552210189,0.6399272726506479,0.6691003610855872,0.7352097926323955
28,0.4857952276051023,0.48365880020097957,0.5095508201205367,0.5657156262499589,0.5732848751253007,0.6180888752581164
29,0.5736142587896629,0.5874403161124182,0.6926396083476831,0.3268739729939902,0.35164745445971307,0.36081318671521184
30,0.7479410620810684,0.7525713984206014,0.737607999026108,0.4456152581571735,0.4477236257851099,0.5096878896247614
31,0.509573710482312,0.5603487688159008,0.5777476147494195,0.3555911149663008,0.3751802759064192,0.456130797630851
32,0.5005865919031347,0.5216703775765098,0.5939179302898274,0.4306872660036729,0.4468190327116042,0.4656644403311645
33,0.5467040359813781,0.5831813399922341,0.47526019710712203,0.44039854679413226,0.4626595176279572,0.4551021989211224
34,0.4340181116428595,0.4317864613018534,0.4583700209826653,0.42721762586915624,0.4510187777457273,0.5032527504702445
35,0.3340353613996027,0.33253816138425457,0.25893232137481176,0.25666826779413,0.2972728241559588,0.24783713800248214
36,0.7916786308565258,0.8004547644203778,0.8340370267420961,0.2670879705614101,0.2748493147019759,0.3205196563321334
37,0.4671839721542914,0.4183405874524039,0.4959729389890132,0.5064135216834512,0.5519271103732559,0.5767210292787928
