algorithm,seed,HF_calls,HV,IGD_plus
MF-BCL-SAEA,1,20,0.6813360826979075,0.042913314861024635
MF-BCL-SAEA,1,30,0.7320091651383678,0.03223610184908294
MF-BCL-SAEA,1,40,0.7743953262017552,0.024149301185055806
MF-BCL-SAEA,1,50,0.8050451658893298,0.018461333469401344
MF-BCL-SAEA,1,60,0.8306838079697931,0.014069051374696844
MF-BCL-SAEA,1,70,0.8488062134087682,0.010937193466529502
MF-BCL-SAEA,1,80,0.8637010523669209,0.00870215345557677
MF-BCL-SAEA,1,90,0.8721565532928636,0.006907001268272477
MF-BCL-SAEA,1,100,0.8846223784054581,0.006822602940311171
MF-BCL-SAEA,1,110,0.8905502766843619,0.005526683632965007
MF-BCL-SAEA,1,120,0.899355899597655,0.005340868093799515
MF-BCL-SAEA,1,130,0.8974001782812702,0.005101797211633389
MF-BCL-SAEA,1,140,0.9016182152341263,0.004606407567366631
MF-BCL-SAEA,1,150,0.9081486947098572,0.003493347572411377
MF-BCL-SAEA,1,160,0.905772443223272,0.0036358048038764765
MF-BCL-SAEA,1,170,0.9080023830922128,0.004173635792209009
MF-BCL-SAEA,1,180,0.9114715910523665,0.004260968926747013
MF-BCL-SAEA,1,190,0.912264858764208,0.003184713767654879
MF-BCL-SAEA,1,200,0.9115676427288893,0.004028152839154855
MF-BCL-SAEA,2,20,0.6813652191062117,0.04347766315696047
MF-BCL-SAEA,2,30,0.7352280706870504,0.03192756954193164
MF-BCL-SAEA,2,40,0.7789864188397793,0.024459552328456795
MF-BCL-SAEA,2,50,0.8079518814891575,0.018176214665835893
MF-BCL-SAEA,2,60,0.8363466072499797,0.01451294792839841
MF-BCL-SAEA,2,70,0.8557981502416744,0.010832171538640174
MF-BCL-SAEA,2,80,0.8700761270652371,0.00855298607489839
MF-BCL-SAEA,2,90,0.8851026037478492,0.007159748045266449
MF-BCL-SAEA,2,100,0.890373370344418,0.0063125694732014655
MF-BCL-SAEA,2,110,0.8969380727025076,0.0050378927994012505
MF-BCL-SAEA,2,120,0.90247884374737,0.004968994523028278
MF-BCL-SAEA,2,130,0.9078296059876155,0.004664630324893732
MF-BCL-SAEA,2,140,0.9089129634337225,0.004454291209688901
MF-BCL-SAEA,2,150,0.9100859509861576,0.004238730587820499
MF-BCL-SAEA,2,160,0.9126744498399791,0.0036682989495274623
MF-BCL-SAEA,2,170,0.913612591854833,0.0036881467313821205
MF-BCL-SAEA,2,180,0.9150706565127383,0.003749396600967663
MF-BCL-SAEA,2,190,0.91487175541053,0.004088658969652483
MF-BCL-SAEA,2,200,0.9157877952207317,0.003069853957695412
MF-BCL-SAEA,3,20,0.6876824786288641,0.043429578137025956
MF-BCL-SAEA,3,30,0.7364537900074472,0.03235807726031153
MF-BCL-SAEA,3,40,0.7704816210329759,0.024025429500039865
MF-BCL-SAEA,3,50,0.8068208583357127,0.01850392056040206
MF-BCL-SAEA,3,60,0.8300175462376065,0.01418350107904164
MF-BCL-SAEA,3,70,0.8528815796428947,0.012162024046678124
MF-BCL-SAEA,3,80,0.8671302503933492,0.009070251681771089
MF-BCL-SAEA,3,90,0.876828795040172,0.007286636614260374
MF-BCL-SAEA,3,100,0.8871673449414095,0.00623756017144796
MF-BCL-SAEA,3,110,0.8913595966187191,0.005557651911563288
MF-BCL-SAEA,3,120,0.8913440791418837,0.005245272272965859
MF-BCL-SAEA,3,130,0.8934022854098904,0.004083963226714827
MF-BCL-SAEA,3,140,0.8994128009481438,0.004284454714328254
MF-BCL-SAEA,3,150,0.9036052802237909,0.004447060485447942
MF-BCL-SAEA,3,160,0.9081454907523554,0.00425404514158578
MF-BCL-SAEA,3,170,0.9067474431943913,0.0033089254310325385
MF-BCL-SAEA,3,180,0.9112798273974132,0.0038935940585722913
MF-BCL-SAEA,3,190,0.9111521036741498,0.004267672703676848
MF-BCL-SAEA,3,200,0.9109618984925557,0.004757294376426793
MF-BCL-SAEA,4,20,0.6799315351838124,0.04309543891579833
MF-BCL-SAEA,4,30,0.7341912035526265,0.0313630375978006
MF-BCL-SAEA,4,40,0.7758083822013047,0.024352859237716306
MF-BCL-SAEA,4,50,0.804210495197131,0.018606692437979293
MF-BCL-SAEA,4,60,0.8282837767142425,0.013925765502447793
MF-BCL-SAEA,4,70,0.8475586831409713,0.010919381730055145
MF-BCL-SAEA,4,80,0.8666552980329661,0.008617003777874029
MF-BCL-SAEA,4,90,0.8724219383526497,0.007322602018138241
MF-BCL-SAEA,4,100,0.8815632173991863,0.006257571163153376
MF-BCL-SAEA,4,110,0.8934375966710993,0.006531164308553596
MF-BCL-SAEA,4,120,0.8952894191144155,0.004888164846467288
MF-BCL-SAEA,4,130,0.9011327915228542,0.004639403994414124
MF-BCL-SAEA,4,140,0.9049764347825183,0.004712488772362278
MF-BCL-SAEA,4,150,0.9037422542346512,0.004677565245867971
MF-BCL-SAEA,4,160,0.9048156872414607,0.003702664155438377
MF-BCL-SAEA,4,170,0.9063222948977847,0.00419509633092065
MF-BCL-SAEA,4,180,0.9047899404804494,0.003610906223785196
MF-BCL-SAEA,4,190,0.9114397642657358,0.00391646702347009
