design_id,specimen,predicted_curvature_per_mm,observed_curvature_per_mm,predicted_pitch_mm,observed_pitch_mm,predicted_blocking_force_mN,observed_blocking_force_mN,centerline_shape_error
D01,1,0.8592670290317962,0.8164955352445824,2.6672534831525465,2.6565409389481958,46.193032720479735,44.55701222228491,0.03382782346937635
D01,2,0.8592670290317962,0.8544609544919479,2.6672534831525465,2.6679532437221947,46.193032720479735,45.84444224111897,0.042481977789159533
D01,3,0.8592670290317962,0.8438197513868376,2.6672534831525465,2.709189083361621,46.193032720479735,45.810174421428016,0.06006638984355499
D01,4,0.8592670290317962,0.8551781195125738,2.6672534831525465,2.612940587181119,46.193032720479735,48.48856121756308,0.05598704307167965
D01,5,0.8592670290317962,0.8733300186814783,2.6672534831525465,2.758219897788747,46.193032720479735,45.71907010438381,0.027369432602095463
D02,1,0.7912091183763509,0.8129105688859736,2.4548988289267575,2.481844356846125,42.83194140115851,40.66654959455669,0.051420307318731776
D02,2,0.7912091183763509,0.7845671989027517,2.4548988289267575,2.3529357089502216,42.83194140115851,45.39126124150808,0.05495937517471664
D02,3,0.7912091183763509,0.7997981379478555,2.4548988289267575,2.5043269594786333,42.83194140115851,43.320956922063836,0.02915377116097441
D02,4,0.7912091183763509,0.8068901054575544,2.4548988289267575,2.5376618712073773,42.83194140115851,41.130023030708855,0.04060360874872588
D02,5,0.7912091183763509,0.7709123628473815,2.4548988289267575,2.4765491838685456,42.83194140115851,41.82350199038661,0.04350217471469304
D03,1,0.7703142419048452,0.7711730380028321,2.5596386272490683,2.50526287685522,31.50199630479848,32.68757021666742,0.04661837301039836
D03,2,0.7703142419048452,0.7792086259514605,2.5596386272490683,2.555413667552754,31.50199630479848,35.340749061661676,0.04612393556624136
D03,3,0.7703142419048452,0.7839229463155353,2.5596386272490683,2.5464360763847274,31.50199630479848,33.35012123617182,0.033587601042422845
D03,4,0.7703142419048452,0.7663261892819215,2.5596386272490683,2.5672597896283706,31.50199630479848,28.073476730414903,0.04433727466166696
D03,5,0.7703142419048452,0.7732064352248057,2.5596386272490683,2.6166586708465966,31.50199630479848,33.87428934868527,0.025847701575852103
D04,1,0.8310388573187987,0.8382291793475901,2.7097091324489355,2.6719987250366586,39.57585864512652,39.35917109540616,0.05437539267691867
D04,2,0.8310388573187987,0.831939576588947,2.7097091324489355,2.7291935146070845,39.57585864512652,38.92594270959736,0.0349687589664901
D04,3,0.8310388573187987,0.824706410711935,2.7097091324489355,2.6557213073014383,39.57585864512652,36.43443786705955,0.04815581811555679
D04,4,0.8310388573187987,0.8166929472780146,2.7097091324489355,2.729011014941697,39.57585864512652,45.06810436452891,0.028282947960450958
D04,5,0.8310388573187987,0.8444559667051771,2.7097091324489355,2.7261867934950987,39.57585864512652,38.63625336180892,0.03762958184323203
D05,1,0.7988218989233807,0.7958321952020471,2.6087628367521685,2.5389661626615934,45.127268824805704,47.64752097779125,0.04372041473806659
D05,2,0.7988218989233807,0.7985967127681598,2.6087628367521685,2.651551368365144,45.127268824805704,46.02092619253243,0.058694199623461486
D05,3,0.7988218989233807,0.7859167616655546,2.6087628367521685,2.6333163480050756,45.127268824805704,44.318400903307,0.029548584268261895
D05,4,0.7988218989233807,0.7805455402333953,2.6087628367521685,2.6012465783231944,45.127268824805704,43.69342267357748,0.030569169322059855
D05,5,0.7988218989233807,0.7991821868727088,2.6087628367521685,2.5569723329135066,45.127268824805704,46.606122586385915,0.03434579896931335
D06,1,0.833779304413191,0.8605356946279413,2.87174534157195,2.7952507522856713,43.287038344443154,46.19051692033868,0.037481778690438984
D06,2,0.833779304413191,0.8364679784077466,2.87174534157195,2.8892145468555084,43.287038344443154,45.06477747737638,0.03183534728438893
D06,3,0.833779304413191,0.8421512035000535,2.87174534157195,2.8625959049496363,43.287038344443154,44.84652767750163,0.06758067156651029
D06,4,0.833779304413191,0.8477410272422573,2.87174534157195,2.8744357941764607,43.287038344443154,43.615163644007794,0.04673263580186703
D06,5,0.833779304413191,0.8418934779847324,2.87174534157195,2.8759377151293637,43.287038344443154,40.83074555477736,0.033048593715768904
D07,1,0.8407015081344084,0.8442181479281895,2.875610660848627,2.943963838804406,37.27090492788096,35.41168767102917,0.03129289313152766
