specimen,cycle,curvature_retention,force_retention
1,0,0.9997054506131767,1.001321373645424
1,10,0.9772703567801945,0.9687603734476915
1,20,0.9684503735201789,0.9555646447726883
1,30,0.9648933950062448,0.9484500460062163
1,40,0.9646054717899192,0.9471769706838568
1,50,0.9526230299372175,0.9406766883972796
1,60,0.9546482633091844,0.9463772073658755
1,70,0.9506985354352543,0.9378573363594161
1,80,0.9535216043289348,0.9312048186307242
1,90,0.9450950714803167,0.9373052103381996
1,100,0.946030226040241,0.9381057238701291
1,110,0.9496084285794082,0.9306080467251869
1,120,0.9488922977310681,0.9337088621303727
1,130,0.9467535458875684,0.9306586049273231
1,140,0.9430064861319196,0.9331135754108841
1,150,0.9455005408874255,0.9362817724436273
1,160,0.9455427429051806,0.9272736060759483
1,170,0.9429966508428,0.9296951957280764
1,180,0.9427453239316285,0.9279912313577937
1,190,0.940624546229025,0.9348229705508125
1,200,0.9391219970160327,0.9299520562371988
1,210,0.9387854152443784,0.9279285846771811
1,220,0.9391536613979337,0.9278255825027445
1,230,0.93425180383469,0.9256326841980631
1,240,0.9365793265198359,0.9265094781332991
1,250,0.9434187961304081,0.922012342618358
1,260,0.9398347904489249,0.9264116870387312
1,270,0.9363977450110832,0.9245289491319948
1,280,0.9346593767277513,0.9192407884508521
1,290,0.9389905596271982,0.9202267973139133
1,300,0.9357123909624002,0.9175539734510165
2,0,1.0032427986572794,0.9987957080912561
2,10,0.9734154220049901,0.9613042606038547
2,20,0.9622989144120264,0.953458718682079
2,30,0.9589778246577398,0.9561117505709034
2,40,0.9548503472626788,0.9440481126446437
2,50,0.9544488226060488,0.9461044196654629
2,60,0.9489423318553893,0.9414484798069221
2,70,0.9515392689923029,0.9386568110470841
2,80,0.949533507414165,0.9280259589104397
2,90,0.9428510901905405,0.9319695965788994
2,100,0.9461765354653185,0.9350407035067891
2,110,0.9431557324177201,0.9297518955587724
2,120,0.9417263694186042,0.9258991318753556
2,130,0.9420448869215653,0.9302156275663329
2,140,0.9395410652188267,0.9274997974752429
2,150,0.939256454141458,0.926111361992499
2,160,0.935589159113781,0.9259751316487658
2,170,0.9390754339269051,0.9223983902770412
2,180,0.934522592637326,0.924649788130414
2,190,0.9366304577617663,0.9206374691157613
2,200,0.9360582839174609,0.9201954060744943
2,210,0.9328184945249063,0.9185298395605191
2,220,0.931523627438133,0.9191666249866282
2,230,0.9311163541607859,0.9198449148413296
2,240,0.9366532686645055,0.91596661353324
2,250,0.9324680666922505,0.9140618860858329
2,260,0.9310756369268652,0.9165670735993371
2,270,0.9343354667646687,0.9218128954411893
2,280,0.9278723430950218,0.9171563190930341
2,290,0.9318241593191878,0.9166795782386785
2,300,0.9272442806313038,0.9132258158150433
3,0,1.0006158096161308,1.003917989336193
3,10,0.9825975855649914,0.976833282521482
3,20,0.9744450887602214,0.9655942559919795
3,30,0.968628156838318,0.9583033356256802
3,40,0.9644173814642949,0.9548051321970602
3,50,0.9628200094582418,0.9511812934859751
3,60,0.9646844516172309,0.9489115411866306
3,70,0.9620633494119285,0.9482179790311508
3,80,0.9607698802307687,0.9474129439564108
3,90,0.9551840017520015,0.9450342698685854
3,100,0.9602180702730875,0.9440427744069124
3,110,0.9613590097528187,0.94562752101308
3,120,0.9557379430887268,0.945579207240701
3,130,0.9550285323603888,0.9375844735078968
3,140,0.9543471630777508,0.9418507555425562
3,150,0.955878510721734,0.9367450806366509
3,160,0.9525486162405701,0.9415490810781404
3,170,0.9551051047064132,0.938632230800183
3,180,0.95501131590987,0.9379134673314389
3,190,0.9539298708120054,0.9366553177375153
3,200,0.9534198158895707,0.9409002666811669
3,210,0.9479029312428817,0.9336610004919828
3,220,0.951079457619182,0.9340635151457941
3,230,0.9510422423308739,0.9328459470729866
3,240,0.9496339214054599,0.9356590427414181
3,250,0.9530349118914916,0.9392436904121039
3,260,0.9506599179041516,0.9307937256330862
3,270,0.9539821511001052,0.9288682180280302
3,280,0.9498578832057566,0.9322650822358709
3,290,0.9465404990418218,0.9265956934976257
3,300,0.9452803772808575,0.9366735595719186
4,0,1.0007880493697516,1.0018956003893078
4,10,0.974457743241227,0.9650432146688852
4,20,0.9655290662416781,0.9614277992898329
4,30,0.9591380564054767,0.9505600406704939
4,40,0.9558004048169649,0.9439940275583274
4,50,0.952339262505734,0.9442442548538722
4,60,0.9565009163088438,0.9451001043618147
4,70,0.9517282462595338,0.9370999995613608
4,80,0.9503174192343272,0.9362090953732086
4,90,0.9466773014363867,0.930839172799426
4,100,0.9450525995532083,0.9335615184779611
4,110,0.9440745772263809,0.9302711889156725
4,120,0.9472677944649487,0.9314154805930326
4,130,0.9427664462716657,0.9266971549137595
4,140,0.9375841608002777,0.9293036328947413
4,150,0.9385076859701387,0.9243391346449389
4,160,0.9400410840859236,0.9264359192532847
4,170,0.9349647593420201,0.927611332349197
4,180,0.937045331478283,0.9230727719707372
4,190,0.9396815992111394,0.9254277845922857
4,200,0.9351581734682686,0.9231080411898329
4,210,0.9387856735882777,0.9205311732823711
4,220,0.936248845139723,0.918953999630918
4,230,0.9376178055751495,0.9211505088385044
4,240,0.9352735696294603,0.920580281696668
4,250,0.9329895293679697,0.9204792089200649
4,260,0.9381090741422312,0.920311791352818
4,270,0.9333856397322836,0.9169825459976579
4,280,0.9372273899558291,0.9186106838097177
4,290,0.9348083921805491,0.9199774012767568
4,300,0.9269870148100491,0.9122241277964864
5,0,0.9976069828435611,0.9923918646383966
5,10,0.9707714695542342,0.96192228636004
5,20,0.9630294715674251,0.9566734494553731
5,30,0.9591597862373221,0.9564068189272329
5,40,0.952312349099259,0.941636292338045
5,50,0.9542637100130626,0.9395578806721622
5,60,0.9471738942625311,0.9391051828749287
5,70,0.9463456084621842,0.9400733031692059
5,80,0.9438696236402202,0.9394432986128177
5,90,0.9406235181248129,0.93634595968744
5,100,0.9424388489635552,0.9291391384210576
5,110,0.9460296818293955,0.9305362296556224
5,120,0.9403126843958135,0.928290672302651
5,130,0.9383919902308782,0.9262376954374819
