specimen,temperature_C,DSC_heat_flow_arb,DMA_storage_modulus_MPa,free_axial_contraction_fraction
1,20.0,0.06823518970191209,5.319697962108719,0.0006971875051196807
1,21.0,0.14702242541879046,5.31969737124407,0.0009153036382034321
1,22.0,0.10801561667961765,5.319696643521384,0.0
1,23.0,0.07999887926963373,5.319695747241198,0.0
1,24.0,0.028930948454069592,5.319694643361755,0.0
1,25.0,0.10977172589688852,5.319693283798379,0.0
1,26.0,0.038491109034515546,5.319691609328955,0.0
1,27.0,0.035647118376204795,5.319689547014307,0.0
1,28.0,0.10182920212361513,5.3196870070210736,0.0
1,29.0,0.09437606021532537,5.319683878708761,0.0015630646200053928
1,30.0,0.012947533919807911,5.3196800258105235,0.0
1,31.0,0.034159387001601524,5.3196752804977985,0.0001573582566800961
1,32.0,0.023774464269675603,5.319669436070344,0.0
1,33.0,0.016204866771823808,5.319662237953347,0.0
1,34.0,0.014466375883623988,5.319653372609627,0.0003680936314705813
1,35.0,-0.005540693814909712,5.319642453884198,0.0
1,36.0,-0.036018709904563274,5.3196290061867515,0.0009128883487786528
1,37.0,-0.03632123218250505,5.3196124437801116,0.0008936840478902743
1,38.0,-0.006274188903999816,5.319592045273338,0.002941549715155676
1,39.0,-0.053184153908475695,5.319566922209797,0.0021815746440162547
1,40.0,-0.043559239225601246,5.319535980383986,0.0010714671850613755
1,41.0,-0.04624017446952415,5.319497872205218,0.0
1,42.0,-0.07411861263351982,5.319450938037967,0.0014146988689920815
1,43.0,-0.038102904928703885,5.319393133970894,0.0
1,44.0,-0.0741120124553971,5.3193219428792755,0.0036339882349487127
1,45.0,-0.06516727803047527,5.319234264923429,0.0
1,46.0,-0.10382163554242761,5.319126282738669,0.0005199094114607848
1,47.0,-0.09193228305212656,5.3189932954830175,0.0007891596711696022
1,48.0,-0.09909891705644208,5.318829514572192,0.0010590514700238845
1,49.0,-0.070429464205994,5.318627812292719,0.001527936658453701
1,50.0,-0.10914816229017547,5.318379412477069,0.0
1,51.0,-0.06155543893667344,5.318073509970276,0.0038788202201176687
1,52.0,-0.09315884156913501,5.317696802620666,0.0
1,53.0,-0.12413283233169144,5.317232915876024,0.0014637150069007586
1,54.0,-0.11567941593287662,5.316661695629322,0.0018076347205652301
1,55.0,-0.09838198742823347,5.315958339584048,0.0026748045859834833
1,56.0,-0.1013278901661245,5.31509233092709,0.0008587577721484536
1,57.0,-0.10254767829823147,5.314026130320785,0.0020800932278401078
1,58.0,-0.08243877956645942,5.312713572960263,0.004701900570684189
1,59.0,-0.05362389867689637,5.3110979065008905,0.0012392853086174392
1,60.0,-0.08461967101024823,5.309109392892487,0.002171980287208849
1,61.0,-0.05911206801136875,5.306662382493124,0.0025354910844594732
1,62.0,-0.10711964854436418,5.303651752365178,0.007964419778844264
1,63.0,-0.04052329183372981,5.299948582744645,0.005949656156952583
1,64.0,-0.05471650552449287,5.295394927144038,0.009259185823749448
1,65.0,-0.06916608780387123,5.289797513949708,0.007803872415041945
1,66.0,-0.01964385418926894,5.282920203381681,0.009177452707661666
1,67.0,-0.0323236850715748,5.274475017665016,0.010640258384471973
1,68.0,-0.02244305806523172,5.264111571058258,0.012464872104032246
1,69.0,0.019536422811400563,5.251404760354129,0.013645022723989236
1,70.0,0.02755799717828812,5.235840650785243,0.015297135751386389
1,71.0,0.0743445452568473,5.216800628407801,0.01635454577014946
1,72.0,0.11554517318291711,5.193544117163362,0.017485212172484405
1,73.0,0.14905991996333018,5.165190514473765,0.020764548529663918
1,74.0,0.18958268424086272,5.13070152809485,0.02809446601152261
1,75.0,0.23349971393562313,5.088865845615568,0.030093568827993702
1,76.0,0.29602080468076725,5.038289072284165,0.03593361191709825
1,77.0,0.4200894168754196,4.9773931333702945,0.03736992712752786
1,78.0,0.49544682217749986,4.904430778091485,0.04408594599684146
1,79.0,0.6328522777714882,4.81752223031531,0.05527570140483163
1,80.0,0.7326994823006358,4.714721983537336,0.059804273423878895
1,81.0,0.8661341049706898,4.594123539460284,0.0680760866232009
1,82.0,1.0910904817074365,4.454007582736523,0.07738099158871109
1,83.0,1.1957886745762072,4.293033615648725,0.08717131424816302
1,84.0,1.4194290173674313,4.110465727950726,0.09452099104075605
1,85.0,1.4432856942166667,3.906410292193065,0.10426749129817794
1,86.0,1.6352146364553863,3.6820291979312776,0.11817236421734319
1,87.0,1.7143200708583,3.439681350488707,0.12766510226917877
1,88.0,1.7680660522134564,3.1829437387507276,0.14175273514498438
1,89.0,1.7913867054926096,2.9164767503981897,0.15473494997541035
1,90.0,1.8517639430273818,2.6457274556926627,0.16925995972886446
1,91.0,1.7899561138255942,2.3765029948182352,0.17889448633045718
1,92.0,1.7764601295467821,2.1144813277414345,0.19398029126894306
1,93.0,1.667775964158516,1.8647446788602684,0.20223485258135776
1,94.0,1.5550359570953767,1.6314143813929185,0.21485127292482892
1,95.0,1.4019618811468513,1.417437342790412,0.22487150284518623
1,96.0,1.209295319320419,1.2245356959072544,0.23380163858041303
1,97.0,1.0557401036476848,1.0532964331881418,0.24575218669965743
1,98.0,0.9185876349081968,0.9033566681735429,0.2509445727213124
1,99.0,0.7617148498171183,0.7736350037025669,0.2613587149391504
1,100.0,0.6332728203260679,0.6625666491948401,0.26919041391220966
1,101.0,0.4975608719797271,0.5683132414849386,0.2772324227708792
1,102.0,0.41632500707893016,0.48893224852932643,0.282765545957729
1,103.0,0.2865393256054895,0.4225020136742865,0.2877484057927547
1,104.0,0.2347708971423037,0.3672057752599287,0.29436318362256364
1,105.0,0.17404920997843315,0.32138168846360116,0.29677166948579364
1,106.0,0.11003544573615809,0.28354694937941805,0.30014388209049003
1,107.0,0.03432668136547773,0.2524036140184461,0.30513124614195364
1,108.0,0.021665444194608738,0.226832445940777,0.3046401193131284
1,109.0,-0.005522578511982222,0.20587966326841767,0.30692589482891264
1,110.0,-0.02181943856212054,0.18874009295019076,0.31112412652001453
1,111.0,-0.02099205064756141,0.1747391100675229,0.3118403739910052
1,112.0,-0.03620984565649442,0.16331487229834618,0.31021120121956414
1,113.0,-0.05848315991937322,0.15400173139761864,0.3145846860305828
1,114.0,-0.04825310213920934,0.14641527106906377,0.31805439245276956
1,115.0,-0.08807981443734464,0.1402391372897441,0.3194633184880107
1,116.0,-0.10533897967939893,0.13521365171497415,0.31860878437976786
1,117.0,-0.099955306965384,0.13112609807675474,0.32160619068488816
1,118.0,-0.10662360679625242,0.1278025204981224,0.31961949596557915
1,119.0,-0.08130693531538243,0.12510085338424695,0.32475088449220463
1,120.0,-0.11140368418383922,0.12290520253790396,0.32478679908375757
1,121.0,-0.1165012698828849,0.1211211080080304,0.3241268989343465
1,122.0,-0.0833780101468668,0.11967163547952835,0.32295291841382445
1,123.0,-0.0889819292819986,0.11849416135006165,0.32071273842839115
1,124.0,-0.0820345853806915,0.11753773498650612,0.32421538213411955
1,125.0,-0.09659582308687996,0.11676091888068009,0.3222773567029812
1,126.0,-0.11717519634792564,0.1161300229750173,0.3198291471915041
1,127.0,-0.09285391898787358,0.1156176631011044,0.32569596753014685
1,128.0,-0.0629739606066125,0.11520158527247079,0.3229875055609173
