physics,selective_upgrade,bayesian_controller,continual_learning,seed,HV
0,0,0,0,1,0.8695841883447739
0,0,0,0,2,0.8624210552699612
0,0,0,0,3,0.8544559642842535
0,0,0,0,4,0.859851176081107
0,0,0,0,5,0.8556458245113796
0,0,0,0,6,0.8629618855643365
0,0,0,0,7,0.8685683627067207
0,0,0,0,8,0.8536203416488716
0,0,0,0,9,0.8529427073941915
0,0,0,0,10,0.8703517915883161
0,0,0,0,11,0.8607949719622804
0,0,0,0,12,0.8619321413830818
0,0,0,0,13,0.8598829224153964
0,0,0,0,14,0.8626125737409294
0,0,0,0,15,0.8579115390793652
0,0,0,1,1,0.8741245881298566
0,0,0,1,2,0.8633083735409057
0,0,0,1,3,0.8747627097157379
0,0,0,1,4,0.8808855617183564
0,0,0,1,5,0.8759289186355292
0,0,0,1,6,0.8767265374981017
0,0,0,1,7,0.8676026637062367
0,0,0,1,8,0.8674018258693817
0,0,0,1,9,0.8755213743099425
0,0,0,1,10,0.8733793507866152
0,0,0,1,11,0.8786424492943198
0,0,0,1,12,0.8807609504234715
0,0,0,1,13,0.8624689101613369
0,0,0,1,14,0.8763340332504138
0,0,0,1,15,0.871942031798385
0,0,1,0,1,0.871425927514677
0,0,1,0,2,0.8745347252103186
0,0,1,0,3,0.8701414785334456
0,0,1,0,4,0.8617165786707098
0,0,1,0,5,0.8705313279064598
0,0,1,0,6,0.8793064071386274
0,0,1,0,7,0.874513471672809
0,0,1,0,8,0.8630503575789159
0,0,1,0,9,0.8713726574163625
0,0,1,0,10,0.8713176837075224
0,0,1,0,11,0.8719778562251229
0,0,1,0,12,0.8739425399129694
0,0,1,0,13,0.8710127119137868
0,0,1,0,14,0.8703234963768314
0,0,1,0,15,0.8683620490747734
0,0,1,1,1,0.8866521873734107
0,0,1,1,2,0.8907137257151504
0,0,1,1,3,0.8875235999102964
0,0,1,1,4,0.8776221292711455
0,0,1,1,5,0.8855320868607289
0,0,1,1,6,0.8864325131870987
0,0,1,1,7,0.8879859462292871
0,0,1,1,8,0.8876534031878457
0,0,1,1,9,0.8886233888168092
0,0,1,1,10,0.8937704446703523
0,0,1,1,11,0.8883761793442587
0,0,1,1,12,0.8852912812932419
0,0,1,1,13,0.8817588060796452
0,0,1,1,14,0.8860052412702912
0,0,1,1,15,0.8873713116756707
0,1,0,0,1,0.8799975895940217
0,1,0,0,2,0.8752985834654801
0,1,0,0,3,0.8820787610318038
0,1,0,0,4,0.8676711282380538
0,1,0,0,5,0.881926593116425
0,1,0,0,6,0.8844241912332407
0,1,0,0,7,0.8838338847320422
0,1,0,0,8,0.8777323219124242
0,1,0,0,9,0.8860836605986743
0,1,0,0,10,0.8829381386843463
0,1,0,0,11,0.8868859927619515
0,1,0,0,12,0.8832017256980925
0,1,0,0,13,0.8888522880713897
0,1,0,0,14,0.8749642989419676
0,1,0,0,15,0.8911138546289178
0,1,0,1,1,0.9031053535556681
0,1,0,1,2,0.9040275923310224
0,1,0,1,3,0.8959574564197376
0,1,0,1,4,0.886645956180121
0,1,0,1,5,0.8989517132411544
0,1,0,1,6,0.8913950535550932
0,1,0,1,7,0.8896315531166937
0,1,0,1,8,0.8942681024304533
0,1,0,1,9,0.8934552125672786
0,1,0,1,10,0.8961444219431906
0,1,0,1,11,0.8913977208103651
0,1,0,1,12,0.890981099567642
0,1,0,1,13,0.9029845886739899
0,1,0,1,14,0.8937566242215264
0,1,0,1,15,0.8875165082996651
0,1,1,0,1,0.9044460483291854
0,1,1,0,2,0.894488486415136
0,1,1,0,3,0.898056067379524
0,1,1,0,4,0.8916577305547042
0,1,1,0,5,0.8824962560192666
0,1,1,0,6,0.8866163877178471
0,1,1,0,7,0.8863203077865341
0,1,1,0,8,0.893548675614677
0,1,1,0,9,0.89150788282028
0,1,1,0,10,0.8878312368995601
0,1,1,0,11,0.8954472496748399
0,1,1,0,12,0.8886170875797385
0,1,1,0,13,0.8920087236242611
0,1,1,0,14,0.8879474077366575
0,1,1,0,15,0.8924375565187008
0,1,1,1,1,0.9099784261662519
0,1,1,1,2,0.8995396823401285
0,1,1,1,3,0.9000914388200535
0,1,1,1,4,0.9104373640415682
0,1,1,1,5,0.9135834734738378
0,1,1,1,6,0.9091369482754196
0,1,1,1,7,0.9053405039846657
0,1,1,1,8,0.9126545943430173
0,1,1,1,9,0.910011966204711
0,1,1,1,10,0.9031577344377626
0,1,1,1,11,0.9064937075487502
0,1,1,1,12,0.9011864674653727
0,1,1,1,13,0.9032117779194316
0,1,1,1,14,0.8996502721530196
0,1,1,1,15,0.9103240636302135
1,0,0,0,1,0.8731133663198951
1,0,0,0,2,0.8715356632998607
1,0,0,0,3,0.8696946292355099
1,0,0,0,4,0.8786109061181233
1,0,0,0,5,0.8865871131018469
1,0,0,0,6,0.8789971375815331
1,0,0,0,7,0.8772793404045617
1,0,0,0,8,0.8768895080305292
1,0,0,0,9,0.8774279999593364
1,0,0,0,10,0.8783395888340351
1,0,0,0,11,0.8751355824845495
1,0,0,0,12,0.875714663664019
1,0,0,0,13,0.8759548914794646
1,0,0,0,14,0.8833015922225609
1,0,0,0,15,0.8765406224011119
1,0,0,1,1,0.8869138857742151
1,0,0,1,2,0.885462055304426
1,0,0,1,3,0.8897654383533123
1,0,0,1,4,0.8858171459496121
1,0,0,1,5,0.8856665899608235
1,0,0,1,6,0.883764609666475
1,0,0,1,7,0.8928706771697199
1,0,0,1,8,0.8888726964089171
1,0,0,1,9,0.8849277074859491
1,0,0,1,10,0.895690913328047
1,0,0,1,11,0.8838583505376736
1,0,0,1,12,0.8863980920242304
1,0,0,1,13,0.8881384879316362
1,0,0,1,14,0.8875360566046723
1,0,0,1,15,0.8869299353762923
1,0,1,0,1,0.8793861041621426
1,0,1,0,2,0.8888700349898213
1,0,1,0,3,0.8910266705748126
1,0,1,0,4,0.8837951485494835
1,0,1,0,5,0.8846443396394928
1,0,1,0,6,0.8886577448572635
1,0,1,0,7,0.8886540619371638
1,0,1,0,8,0.875267887485068
1,0,1,0,9,0.8843613489898099
1,0,1,0,10,0.8901970776959562
1,0,1,0,11,0.8856447838878236
1,0,1,0,12,0.8860077587069571
1,0,1,0,13,0.8844174865131693
1,0,1,0,14,0.8860145524571863
1,0,1,0,15,0.8798321313995578
1,0,1,1,1,0.9024856574958837
1,0,1,1,2,0.9024616285957493
1,0,1,1,3,0.8937549551603586
1,0,1,1,4,0.9005626651917664
1,0,1,1,5,0.8905954067576843
1,0,1,1,6,0.9092166661516538
