variant,seed,HV,IGD_plus,HF_calls_to_90pct_oracle_HV
Full MF-BCL-SAEA,1,0.9107455858654546,0.003456612434245492,107
Full MF-BCL-SAEA,2,0.9209713177767523,0.003609483833213456,106
Full MF-BCL-SAEA,3,0.9157661050868221,0.004120912577442267,106
Full MF-BCL-SAEA,4,0.9080337220842573,0.0037566443923334487,118
Full MF-BCL-SAEA,5,0.9154107658809453,0.004156222631222311,99
Full MF-BCL-SAEA,6,0.9162573022343695,0.0033685898607384605,111
Full MF-BCL-SAEA,7,0.9099079291103264,0.0037489594708607606,100
Full MF-BCL-SAEA,8,0.9154831506744526,0.0038558601611690694,97
Full MF-BCL-SAEA,9,0.9215476310247175,0.0038900803066186608,109
Full MF-BCL-SAEA,10,0.9154093896815425,0.004162641206240313,106
Full MF-BCL-SAEA,11,0.9139942170365293,0.0031182927739953556,107
Full MF-BCL-SAEA,12,0.9110535049839819,0.004091242788027383,101
Full MF-BCL-SAEA,13,0.9169497453892553,0.0040830392592268085,114
Full MF-BCL-SAEA,14,0.9161638398628578,0.0033369495722763987,111
Full MF-BCL-SAEA,15,0.91602080601779,0.004101597861042707,109
Full MF-BCL-SAEA,16,0.9180367962692008,0.003941938254385496,107
Full MF-BCL-SAEA,17,0.9113731963508109,0.004030022669936218,94
Full MF-BCL-SAEA,18,0.915423225174854,0.003431300114601288,100
Full MF-BCL-SAEA,19,0.9061918814384923,0.004009446664407283,101
Full MF-BCL-SAEA,20,0.912087152567615,0.004221550186181002,103
Full MF-BCL-SAEA,21,0.9097930084524931,0.0038101049596374146,102
Full MF-BCL-SAEA,22,0.9160594707470009,0.004010919725275775,106
Full MF-BCL-SAEA,23,0.9146135258398997,0.003702665693612858,95
Full MF-BCL-SAEA,24,0.9107955032908372,0.0035782495434390793,104
Full MF-BCL-SAEA,25,0.9133815953937515,0.0034129202721000463,113
Full MF-BCL-SAEA,26,0.9165366691855994,0.00386494640717193,109
Full MF-BCL-SAEA,27,0.9171056445533134,0.0030744488871338824,100
Full MF-BCL-SAEA,28,0.9138723122205479,0.003908502283155869,112
Full MF-BCL-SAEA,29,0.9129756509313512,0.003952247654387296,107
Full MF-BCL-SAEA,30,0.9179264989433632,0.0037550839710141777,113
− physical descriptors,1,0.9050542623746354,0.007010176483905589,123
− physical descriptors,2,0.8924794893308107,0.006284480587805668,133
− physical descriptors,3,0.8951744250162883,0.005924493660735042,145
− physical descriptors,4,0.907763841865435,0.007410750715199466,127
− physical descriptors,5,0.8993118706676265,0.006572775540459182,136
− physical descriptors,6,0.8966346148902012,0.006201935267271655,134
− physical descriptors,7,0.8875034840737155,0.006574067525548919,128
− physical descriptors,8,0.8968506227518163,0.005906589466930827,134
− physical descriptors,9,0.8905057729127952,0.006242188836154401,128
− physical descriptors,10,0.8844238062362274,0.006702653606637896,117
− physical descriptors,11,0.8974425978019055,0.007951564543064829,130
− physical descriptors,12,0.9005229689254197,0.007792103403358956,128
− physical descriptors,13,0.8926340875700574,0.005623787157289439,134
− physical descriptors,14,0.8887397891818135,0.006189331268160041,134
− physical descriptors,15,0.9007058561493081,0.006486398526114276,120
− physical descriptors,16,0.8984401197413127,0.006311690172356023,129
− physical descriptors,17,0.8954011553007902,0.007512957393120412,131
− physical descriptors,18,0.9090951266901266,0.007001021042617343,131
− physical descriptors,19,0.895088020825204,0.006199548634971602,131
− physical descriptors,20,0.8983758894437447,0.005835227635198231,122
− physical descriptors,21,0.8935423918936833,0.007174382835265404,129
− physical descriptors,22,0.8959617513856682,0.007618229095449331,129
− physical descriptors,23,0.9034125909436906,0.007112757097789102,128
− physical descriptors,24,0.9024208568141742,0.006804569892523244,126
− physical descriptors,25,0.9084223632821539,0.008051416948441548,133
− physical descriptors,26,0.8884320768654664,0.005929091970488993,130
− physical descriptors,27,0.8945122922872488,0.0064260069279246795,135
− physical descriptors,28,0.9001628908378645,0.00679404218289173,132
− physical descriptors,29,0.9003940726521779,0.0057928077865788815,127
− physical descriptors,30,0.9018779835882347,0.006774267921874427,129
− multi-fidelity residual calibration,1,0.8871225575118927,0.007880948430490123,145
− multi-fidelity residual calibration,2,0.8862791293067621,0.007052622497836801,151
− multi-fidelity residual calibration,3,0.8879344383452461,0.010561390007732947,149
− multi-fidelity residual calibration,4,0.8905321369945044,0.00823387623873516,157
− multi-fidelity residual calibration,5,0.87556260515415,0.008166708823356605,141
− multi-fidelity residual calibration,6,0.8917633059573601,0.008653488026702722,145
− multi-fidelity residual calibration,7,0.8847598997064714,0.008301444073482975,146
− multi-fidelity residual calibration,8,0.8941393086205813,0.009091654143316473,148
− multi-fidelity residual calibration,9,0.8918710635666545,0.00940208528626644,152
− multi-fidelity residual calibration,10,0.8912533384884588,0.009336478086957183,138
− multi-fidelity residual calibration,11,0.8874724405095504,0.008109385996494257,155
− multi-fidelity residual calibration,12,0.8939334094879614,0.009719163839712355,142
− multi-fidelity residual calibration,13,0.8900453273006758,0.008184082403412389,160
− multi-fidelity residual calibration,14,0.8944676026925134,0.00789011296739118,148
− multi-fidelity residual calibration,15,0.8769731162785273,0.007716355997175703,140
− multi-fidelity residual calibration,16,0.8911785830204643,0.007739633791133635,152
− multi-fidelity residual calibration,17,0.8906924079211105,0.008319165411676582,151
− multi-fidelity residual calibration,18,0.8812736112296794,0.006699623449397263,143
− multi-fidelity residual calibration,19,0.8945445120194698,0.008498028226779,148
− multi-fidelity residual calibration,20,0.8797735210718475,0.0074871942659809655,148
− multi-fidelity residual calibration,21,0.8839323509478232,0.008523301055678245,148
− multi-fidelity residual calibration,22,0.8888054448485221,0.009730215606578503,142
− multi-fidelity residual calibration,23,0.8759208035622936,0.008248517497534472,142
− multi-fidelity residual calibration,24,0.8791812261796748,0.010930208001282748,147
− multi-fidelity residual calibration,25,0.8872068175963967,0.008817210559817644,156
− multi-fidelity residual calibration,26,0.8826233758907941,0.009783448154870766,150
− multi-fidelity residual calibration,27,0.8912566632052366,0.00991525402389172,148
− multi-fidelity residual calibration,28,0.8901030470389371,0.007234294397174873,144
− multi-fidelity residual calibration,29,0.8893324462827743,0.00873739871850144,138
− multi-fidelity residual calibration,30,0.8928703683822772,0.008713880498580004,137
− phase-sensitive upgrading,1,0.899589097889929,0.005965370864261345,118
− phase-sensitive upgrading,2,0.8972354661665312,0.004968599126505997,132
− phase-sensitive upgrading,3,0.895772909900321,0.006513276093026177,127
− phase-sensitive upgrading,4,0.896035388172211,0.006088986958280459,127
− phase-sensitive upgrading,5,0.9022293905775859,0.00650791226813567,122
− phase-sensitive upgrading,6,0.9000368405898554,0.005965971330587904,120
− phase-sensitive upgrading,7,0.9022830912711941,0.0048161525639424056,132
− phase-sensitive upgrading,8,0.9005032710123374,0.005755352409941544,125
− phase-sensitive upgrading,9,0.9031501992782133,0.005764530346309247,129
− phase-sensitive upgrading,10,0.9035552974288777,0.0059021656543482,130
− phase-sensitive upgrading,11,0.9015491274894375,0.006415409611484506,131
− phase-sensitive upgrading,12,0.894016459786458,0.006734070906745352,121
− phase-sensitive upgrading,13,0.898599356613493,0.005469628692460155,126
− phase-sensitive upgrading,14,0.8943677084824972,0.008160393458778564,121
− phase-sensitive upgrading,15,0.8968616293715218,0.006177361372651455,120
− phase-sensitive upgrading,16,0.9007621080626432,0.005565070617669093,121
− phase-sensitive upgrading,17,0.907195510280148,0.006603554023935488,128
− phase-sensitive upgrading,18,0.8968989073560202,0.005837832828315887,127
− phase-sensitive upgrading,19,0.8949857397048108,0.006373943823628951,126
− phase-sensitive upgrading,20,0.9068319110010716,0.006162927708664166,124
− phase-sensitive upgrading,21,0.8976160773950694,0.0059617730455118045,120
− phase-sensitive upgrading,22,0.9040008488748827,0.006840718543295105,129
− phase-sensitive upgrading,23,0.9058006586869206,0.006117518462820427,130
− phase-sensitive upgrading,24,0.8929564472974503,0.0057736795141534085,126
− phase-sensitive upgrading,25,0.9008182762117891,0.005848689850550663,124
− phase-sensitive upgrading,26,0.9004159264325876,0.005494674505552745,125
− phase-sensitive upgrading,27,0.8943585993466509,0.0065144274652709664,127
− phase-sensitive upgrading,28,0.8995206355654678,0.00698075852912169,123
− phase-sensitive upgrading,29,0.9043839094551235,0.006844857846388499,131
− phase-sensitive upgrading,30,0.8922468277526848,0.0056996800034463495,124
− uncertainty term,1,0.8999583180654112,0.006440689471057474,108
− uncertainty term,2,0.9058210122361361,0.005875748128188313,113
