algorithm,point_id,outer_stress_MPa,inner_stress_MPa
MF-BCL-SAEA,1,0.339180929319965,0.5656371807512345
MF-BCL-SAEA,2,0.3527806534066435,0.5503059887173641
MF-BCL-SAEA,3,0.3691007013534089,0.5321707452105262
MF-BCL-SAEA,4,0.3694897344908453,0.5270128281403738
MF-BCL-SAEA,5,0.3923021983635974,0.5156567796584179
MF-BCL-SAEA,6,0.3931367368811045,0.49828910243670393
MF-BCL-SAEA,7,0.40861415508273036,0.48795631897385616
MF-BCL-SAEA,8,0.4193637836596275,0.4778805467467812
MF-BCL-SAEA,9,0.4312801150568902,0.4643855747975461
MF-BCL-SAEA,10,0.4435689765774217,0.4468845452702702
MF-BCL-SAEA,11,0.4488086036101907,0.4395196383185708
MF-BCL-SAEA,12,0.4625762309733615,0.42734216356376
MF-BCL-SAEA,13,0.47234123922140975,0.4218959359327566
MF-BCL-SAEA,14,0.4862624519248457,0.3990698187370532
MF-BCL-SAEA,15,0.4885568056863277,0.3959395539701037
MF-BCL-SAEA,16,0.49808293057851055,0.3798804700240851
MF-BCL-SAEA,17,0.5159079181200618,0.37135096099324144
MF-BCL-SAEA,18,0.5322310611722586,0.35946740440824754
MF-BCL-SAEA,19,0.527513508679353,0.35017959949460065
MF-BCL-SAEA,20,0.5495822148935479,0.35005920854330685
MF-BCL-SAEA,21,0.5617102002735906,0.3190696247400204
MF-BCL-SAEA,22,0.5791879385272842,0.31520344636042213
MF-BCL-SAEA,23,0.5880938422024261,0.3073316625592571
MF-BCL-SAEA,24,0.5961062033240335,0.29905862136693756
MF-BCL-SAEA,25,0.6082624625927209,0.2865241576976654
MF-BCL-SAEA,26,0.626367535373043,0.2841793872896306
MF-BCL-SAEA,27,0.6284937493373156,0.26352089331559847
MF-BCL-SAEA,28,0.6412879481902812,0.260867226108366
MF-BCL-SAEA,29,0.6570571150832929,0.24888872789536257
MF-BCL-SAEA,30,0.6652224938231649,0.24719428083300332
MF-BCL-SAEA,31,0.6860605744586272,0.2409156130644317
MF-BCL-SAEA,32,0.6970759139453734,0.22443467930507124
MF-BCL-SAEA,33,0.7018412287865595,0.2175019737292647
MF-BCL-SAEA,34,0.7116558381325065,0.21057139195456898
